Timestamp,Average Bikes in Use,Average Temperature,Average Wind Speed,Normalised Average Bikes in Use,Normalised Average Temperature,Normalised Average Wind Speed
2019-01-02 15:00:07,11.48,5.49,2.6,0.031063916410359264,0.03017661398655517,0.029401489885597775
2019-01-02 15:20:04,11.09,5.17,3.07,0.030008609145547406,0.02841768566675596,0.0347163745956866
2019-01-02 16:40:04,12.48,4.93,2.6,0.03376983247397941,0.02709848942690655,0.029401489885597775
2019-01-02 17:00:05,12.57,4.93,2.48,0.03401336491970522,0.02709848942690655,0.028044498044724028
2019-01-02 17:20:03,13.65,4.84,2.5,0.03693575426841498,0.026603790836963025,0.02827066335153632
2019-01-02 17:40:04,14.22,4.73,2.6,0.03847812642467846,0.02599915922703205,0.029401489885597775
2019-01-02 18:00:05,14.22,4.73,2.6,0.03847812642467846,0.02599915922703205,0.029401489885597775
2019-01-02 18:20:05,15.5,4.77,2.1,0.04194169898611225,0.026219025267006948,0.02374735721529051
2019-01-02 18:40:03,15.5,4.77,2.1,0.04194169898611225,0.026219025267006948,0.02374735721529051
2019-01-02 19:00:06,15.5,4.77,2.1,0.04194169898611225,0.026219025267006948,0.02374735721529051
2019-01-02 19:20:04,15.48,4.44,3.03,0.041887580664839844,0.02440513043721402,0.034264043982062016
2019-01-02 19:40:03,15.59,4.64,2.1,0.042185231431838055,0.02550446063708852,0.02374735721529051
2019-01-02 20:00:05,16.07,4.64,2.1,0.04348407114237573,0.02550446063708852,0.02374735721529051
2019-01-02 20:20:03,16.13,4.27,2.5,0.04364642610619293,0.023470699767320684,0.02827066335153632
2019-01-02 20:40:03,16.37,4.37,2.1,0.04429584596146177,0.02402036486725794,0.02374735721529051
2019-01-02 21:00:05,16.39,4.36,2.1,0.044349964282734175,0.023965398357264217,0.02374735721529051
2019-01-02 21:20:04,16.3,4.36,2.1,0.04410643183700836,0.023965398357264217,0.02374735721529051
2019-01-02 21:40:03,16.28,4.12,2.1,0.044052313515735964,0.022646202117414808,0.02374735721529051
2019-01-02 22:00:04,15.98,4.06,2.37,0.04324053869664991,0.022316403057452455,0.026800588857256433
2019-01-02 22:20:03,15.76,4.02,2.6,0.04264523716265348,0.022096537017477554,0.029401489885597775
2019-01-02 22:40:03,15.78,3.93,2.6,0.04269935548392589,0.02160183842753403,0.029401489885597775
2019-01-02 23:00:03,15.8,3.92,2.48,0.04275347380519829,0.021546871917540303,0.028044498044724028
2019-01-02 23:20:03,15.74,3.91,2.6,0.04259111884138108,0.02149190540754658,0.029401489885597775
2019-01-02 23:40:04,15.65,3.91,2.1,0.042347586395655265,0.02149190540754658,0.02374735721529051
2019-01-03 00:00:03,15.65,3.97,2.1,0.042347586395655265,0.02182170446750893,0.02374735721529051
2019-01-03 00:20:04,15.67,3.91,1.5,0.04240170471692767,0.02149190540754658,0.01696239801092179
